Command / 指令	Package Hint / 套件提示	Purpose / 用途	Command Path / 指令路徑	Detected Package / 偵測到的套件	Version / 版本	Status / 狀態
nmap	nmap	Port scan service detection NSE script scan	/usr/bin/nmap	nmap	7.99+dfsg-1kali1	INSTALLED / 已安裝
hping3	hping3	TCP UDP ICMP packet testing	/usr/sbin/hping3	hping3	3.a2.ds2-11~kali1	INSTALLED / 已安裝
tcpdump	tcpdump	Packet capture	/usr/bin/tcpdump	tcpdump	4.99.6-2	INSTALLED / 已安裝
wireshark	wireshark	GUI packet analysis	/usr/bin/wireshark	wireshark	4.6.6-1	INSTALLED / 已安裝
tshark	tshark	CLI packet analysis	/usr/bin/tshark	tshark	4.6.6-1	INSTALLED / 已安裝
openssl	openssl	TLS certificate cipher check	/usr/bin/openssl	openssl	3.6.2-1	INSTALLED / 已安裝
burpsuite	burpsuite	Web application proxy testing	/usr/bin/burpsuite	burpsuite	2026.3.2-0kali1	INSTALLED / 已安裝
sqlmap	sqlmap	SQL injection testing	/usr/bin/sqlmap	sqlmap	1.10.4-1	INSTALLED / 已安裝
hydra	hydra	Login password testing	/usr/bin/hydra	hydra	9.7-1	INSTALLED / 已安裝
john	john	Password hash testing	/usr/sbin/john	john	1.9.0-Jumbo-1+git20211102-0kali10	INSTALLED / 已安裝
hashcat	hashcat	Password hash testing	/usr/bin/hashcat	hashcat	7.1.2+ds1-4	INSTALLED / 已安裝
curl	curl	HTTP HTTPS API testing	/usr/bin/curl	curl	8.19.0-3	INSTALLED / 已安裝
wget	wget	HTTP file download testing	/usr/bin/wget	wget	1.25.0-2	INSTALLED / 已安裝
whatweb	whatweb	Web technology fingerprinting	/usr/bin/whatweb	whatweb	0.6.4-1	INSTALLED / 已安裝
wafw00f	wafw00f	WAF detection	/usr/bin/wafw00f	wafw00f	2.4.2-1	INSTALLED / 已安裝
nikto	nikto	Web server security check	/usr/bin/nikto	nikto	1:2.6.0-0kali4	INSTALLED / 已安裝
ffuf	ffuf	Web fuzzing	/usr/bin/ffuf	ffuf	2.1.0-1+b11	INSTALLED / 已安裝
msfconsole	metasploit-framework	Exploit validation framework	/usr/bin/msfconsole	metasploit-framework	6.4.133-0kali1	INSTALLED / 已安裝
searchsploit	exploitdb	Exploit database search	/usr/bin/searchsploit	exploitdb	20260516-0kali1	INSTALLED / 已安裝
smbmap	smbmap	SMB share permission check	/usr/bin/smbmap	smbmap	1.10.7-1	INSTALLED / 已安裝
ettercap	ettercap-common	MITM ARP spoofing testing	/usr/bin/ettercap	ettercap-graphical	1:0.8.4.1-2	INSTALLED / 已安裝
mitmproxy	mitmproxy	HTTP HTTPS proxy analysis	/usr/bin/mitmproxy	mitmproxy	12.2.3-0kali2	INSTALLED / 已安裝
aircrack-ng	aircrack-ng	Wi-Fi security testing	/usr/bin/aircrack-ng	aircrack-ng	1:1.7+git20230807.4bf83f1a-3	INSTALLED / 已安裝
airodump-ng	aircrack-ng	Wi-Fi capture and monitoring	/usr/sbin/airodump-ng	aircrack-ng	1:1.7+git20230807.4bf83f1a-3	INSTALLED / 已安裝
aireplay-ng	aircrack-ng	Wi-Fi packet injection testing	/usr/sbin/aireplay-ng	aircrack-ng	1:1.7+git20230807.4bf83f1a-3	INSTALLED / 已安裝
reaver	reaver	WPS testing	/usr/bin/reaver	reaver	1.6.6-2+b1	INSTALLED / 已安裝
binwalk	binwalk	Firmware analysis	/usr/bin/binwalk	binwalk	2.4.3+dfsg1-2	INSTALLED / 已安裝
testssl	testssl	TLS SSL protocol cipher certificate and cryptographic flaw testing	/usr/bin/testssl	testssl.sh	3.2.2+dfsg-1	INSTALLED / 已安裝
sslscan	sslscan	SSL TLS service protocol cipher suite certificate scanning	/usr/bin/sslscan	sslscan	2.1.5-1	INSTALLED / 已安裝
sslyze	sslyze	Fast SSL TLS configuration scanner	/usr/bin/sslyze	sslyze	6.3.1-0kali1	INSTALLED / 已安裝

